SeqId,NussinovFolderFolding Tns,
seq_30_88,763900,
seq_30_89,393200,
seq_30_90,732800,
seq_30_91,400600,
seq_30_92,943500,
seq_30_93,511700,
seq_30_94,672300,
seq_30_95,395400,
seq_30_96,1130500,
seq_30_97,592000,
seq_30_98,3287000,
seq_30_99,394300,
seq_40_0,776800,
seq_40_1,1111300,
seq_40_2,1106300,
seq_40_3,1139700,
seq_40_4,1097500,
seq_40_5,1119800,
seq_40_6,1091700,
seq_40_7,1100200,
seq_40_8,1083200,
seq_40_9,1110100,
seq_40_10,1083300,
seq_40_11,2993400,
seq_40_12,1083000,
seq_40_13,1098800,
seq_40_14,1134600,
seq_40_15,2007000,
seq_40_16,1167000,
seq_40_17,1107700,
seq_40_18,1074300,
seq_40_19,1079900,
seq_40_20,1116400,
seq_40_21,1056700,
seq_40_22,1105600,
seq_40_23,1334400,
seq_40_24,1091400,
seq_40_25,1221900,
seq_40_26,1063200,
seq_40_27,1087000,
seq_40_28,1068200,
seq_40_29,1095600,
seq_40_30,1093000,
seq_40_31,1113600,
seq_40_32,1738700,
seq_40_33,1083800,
seq_40_34,1230700,
seq_40_35,1909400,
seq_40_36,762400,
seq_40_37,818000,
seq_40_38,819100,
seq_40_39,1354700,
seq_40_40,829100,
seq_40_41,925100,
seq_40_42,1276100,
seq_40_43,3378200,
seq_40_44,16251600,
seq_40_45,804300,
seq_40_46,788800,
seq_40_47,990900,
seq_40_48,856900,
seq_40_49,833600,
seq_40_50,914700,
seq_40_51,1559200,
seq_40_52,4937900,
seq_40_53,797600,
seq_40_54,800200,
seq_40_55,778100,
seq_40_56,742000,
seq_40_57,911300,
seq_40_58,1333400,
seq_40_59,877000,
seq_40_60,862100,
seq_40_61,5572200,
seq_40_62,873900,
seq_40_63,800000,
seq_40_64,1066200,
seq_40_65,954600,
seq_40_66,988000,
seq_40_67,860200,
seq_40_68,801800,
seq_40_69,1212000,
seq_40_70,1672200,
seq_40_71,1260300,
seq_40_72,1215100,
seq_40_73,1198900,
seq_40_74,1190400,
seq_40_75,1078400,
seq_40_76,1051000,
seq_40_77,956300,
seq_40_78,1085400,
seq_40_79,5862500,
seq_40_80,882300,
seq_40_81,1308300,
seq_40_82,1054300,
seq_40_83,888100,
seq_40_84,897100,
seq_40_85,864000,
seq_40_86,865300,
seq_40_87,1355400,
seq_40_88,1091800,
seq_40_89,1059900,
seq_40_90,1062500,
seq_40_91,2520700,
seq_40_92,1171500,
seq_40_93,1236400,
seq_40_94,1166500,
seq_40_95,1180700,
seq_40_96,1223400,
seq_40_97,1010900,
seq_40_98,1042900,
seq_40_99,1023700,
seq_50_0,1317300,
seq_50_1,495200,
seq_50_2,433300,
seq_50_3,454100,
seq_50_4,464000,
seq_50_5,399900,
seq_50_6,327600,
seq_50_7,382300,
seq_50_8,398700,
seq_50_9,372400,
seq_50_10,381500,
seq_50_11,367100,
seq_50_12,407100,
seq_50_13,481800,
seq_50_14,430500,
seq_50_15,373200,
seq_50_16,386200,
seq_50_17,390200,
seq_50_18,374300,
seq_50_19,380600,
seq_50_20,480600,
seq_50_21,388400,
seq_50_22,390200,
seq_50_23,412400,
seq_50_24,383800,
seq_50_25,607700,
seq_50_26,454000,
seq_50_27,382700,
seq_50_28,335600,
seq_50_29,551300,
seq_50_30,456700,
seq_50_31,700200,
seq_50_32,353700,
seq_50_33,394300,
seq_50_34,437200,
seq_50_35,642600,
seq_50_36,470700,
seq_50_37,365900,
seq_50_38,371000,
seq_50_39,411300,
seq_50_40,431300,
seq_50_41,428800,
seq_50_42,439500,
seq_50_43,444800,
seq_50_44,419500,
seq_50_45,368000,
seq_50_46,468300,
seq_50_47,378300,
seq_50_48,371700,
seq_50_49,379700,
seq_50_50,402400,
seq_50_51,381900,
seq_50_52,354300,
seq_50_53,491200,
seq_50_54,409400,
seq_50_55,434100,
seq_50_56,385400,
seq_50_57,402400,
seq_50_58,418400,
seq_50_59,375000,
seq_50_60,380000,
seq_50_61,435800,
seq_50_62,360800,
seq_50_63,344900,
seq_50_64,367800,
seq_50_65,948400,
seq_50_66,411400,
seq_50_67,363400,
seq_50_68,521600,
seq_50_69,429500,
seq_50_70,449800,
seq_50_71,424200,
seq_50_72,416000,
seq_50_73,489700,
seq_50_74,475300,
seq_50_75,403700,
seq_50_76,773100,
seq_50_77,509300,
seq_50_78,566000,
seq_50_79,537500,
seq_50_80,491100,
seq_50_81,7069100,
seq_50_82,477300,
seq_50_83,634600,
seq_50_84,422300,
seq_50_85,462800,
seq_50_86,389600,
seq_50_87,468900,
seq_50_88,466600,
seq_50_89,422700,
seq_50_90,398400,
seq_50_91,440200,
seq_50_92,401100,
seq_50_93,419700,
seq_50_94,672100,
seq_50_95,859700,
seq_50_96,378600,
seq_50_97,388100,
seq_50_98,405700,
seq_50_99,386500,
seq_60_0,1071200,
seq_60_1,619800,
seq_60_2,823400,
seq_60_3,705400,
seq_60_4,1128700,
seq_60_5,9413700,
seq_60_6,628000,
seq_60_7,865300,
seq_60_8,628300,
seq_60_9,630700,
seq_60_10,621200,
seq_60_11,727200,
seq_60_12,625500,
seq_60_13,575900,
seq_60_14,742900,
seq_60_15,679400,
seq_60_16,626800,
seq_60_17,717800,
seq_60_18,1246200,
seq_60_19,613300,
seq_60_20,2097600,
seq_60_21,623500,
seq_60_22,563400,
seq_60_23,583000,
seq_60_24,613600,
seq_60_25,1564300,
seq_60_26,773800,
seq_60_27,594000,
